Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_Diff,Power_Proxy,Tool_Wear_Torque,RUL [min]
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,240
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,138.89999999999998,237
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,247.0,235
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,276.5,233
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,360.0,231
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,460.9,229
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,593.6,226
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,643.2,224
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,514.8000000000001,222
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,588.0,219
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,573.5999999999999,216
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,1284.6999999999998,211
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,1737.4,206
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,1110.0,203
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,784.0,200
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,2032.8,198
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,2050.4,196
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,2143.2000000000003,193
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,2725.0,190
1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,1787.5,185
2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,2476.6000000000004,182
0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,2822.3999999999996,177
1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,1995.5,175
0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,1747.6,172
1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,2611.0,170
0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,1700.9,167
0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,2925.0,165
2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,1894.2,163
0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,3624.4,158
0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,2528.4,156
1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,4145.2,154
0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,2269.5,151
0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,4395.3,149
0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,3022.5,147
1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,3296.5000000000005,145
1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,4762.8,142
1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,3706.7000000000003,139
0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,4076.8,136
2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,5374.200000000001,134
